id,mappings,description
TradeAppendix,,"Tree-root container for the Trade Appendix — the spec companion document that publishes the full message- and component-layout tables for every message and component used in the Trade business area, organized into one ""Appendix – <X> Category"" sub-section per Trade category plus a final ""Appendix – Common Category"" sub-section covering the layouts of the chapter's common components."
TradeAppendixSection,,"One ""Appendix – <X> Category"" sub-section of the Trade Appendix. Bundles the per-message layout tables (TradeMessageDetail) and per-component layout tables (TradeComponentDetail) for messages and components that belong to one Trade category — or, for the synthetic ""Common"" section, the layouts of the chapter's common components."
TradeBusinessArea,,Tree-root container for the Trade (Orders and Executions) business area of FIX Latest.
TradeCaptureReportIdentifierRule,,A rule governing one of the TradeCaptureReport(35=AE) identifier fields.
TradeCaptureReportUsage,,One documented usage of the TradeCaptureReport(35=AE) message.
TradeCategorySection,,A per-category sub-section of the Trade chapter.
TradeCommonComponentDetail,,"Per-common-component description from the chapter's final ""Common Components"" section."
TradeComponentDetail,,Per-category component description.
TradeComponentEntry,,One row of the area-wide trade components table.
TradeComponentTableFootnote,,A footnote on the area-wide components table.
TradeFragmentationEntry,,"One row of a fragmentation table published in a Trade category (currently only List/Program/Basket Trading) identifying a message that may be fragmented, the ""Total Entries"" field used to indicate the total count across all fragments of the batch, and the verbatim description of the repeating group that may be fragmented."
TradeLayoutRow,,"One row of the layout table published in the Trade Appendix for a message or component. Each row identifies either a FIX field (by tag number + name) or an embedded component (by name), records whether it is required, carries the Description-column text, and flags whether it appears as a nested child of a repeating-group counter."
TradeMessageDetail,,Per-category message description.
TradeMessageEntry,,One row of the area-wide trade messages table.
TradeMessageGroup,,"Purpose-grouped sub-section inside a category's Messages sub-section (e.g. ""New Order Single"", ""Execution Reports"", ""Order Cancel Requests"" under Single/General Order Handling)."
TradeOrdStatusPrecedenceEntry,,"One row of the OrdStatus(39) precedence table published in the Execution Reports purpose-group of the Single/General Order Handling category. Defines the precedence ranking used to resolve simultaneous state transitions on an order, paired with the human-readable OrdStatus label and its descriptive prose."
UDFTagRange,,A reserved range of tag numbers for User Defined Fields.

